Field,Class,Package,HasGetter
INDENT_STRING,MapUtils,org.apache.commons.collections4,No
serialVersionUID,PredicatedQueue,org.apache.commons.collections4.queue,No
serialVersionUID,UnmodifiableQueue,org.apache.commons.collections4.queue,No
serialVersionUID,AbstractQueueDecorator,org.apache.commons.collections4.queue,No
serialVersionUID,CircularFifoQueue,org.apache.commons.collections4.queue,No
elements,CircularFifoQueue,org.apache.commons.collections4.queue,No
start,CircularFifoQueue,org.apache.commons.collections4.queue,No
maxElements,CircularFifoQueue,org.apache.commons.collections4.queue,No
end,CircularFifoQueue,org.apache.commons.collections4.queue,No
full,CircularFifoQueue,org.apache.commons.collections4.queue,No
serialVersionUID,TransformedQueue,org.apache.commons.collections4.queue,No
serialVersionUID,SynchronizedQueue,org.apache.commons.collections4.queue,No
serialVersionUID,UnmodifiableMultiSet,org.apache.commons.collections4.multiset,No
serialVersionUID,AbstractMultiSetDecorator,org.apache.commons.collections4.multiset,No
serialVersionUID,HashMultiSet,org.apache.commons.collections4.multiset,No
modCount,AbstractMapMultiSet,org.apache.commons.collections4.multiset,No
size,AbstractMapMultiSet,org.apache.commons.collections4.multiset,No
map,AbstractMapMultiSet,org.apache.commons.collections4.multiset,No
entrySet,AbstractMultiSet,org.apache.commons.collections4.multiset,No
uniqueSet,AbstractMultiSet,org.apache.commons.collections4.multiset,No
serialVersionUID,PredicatedMultiSet,org.apache.commons.collections4.multiset,No
serialVersionUID,SynchronizedMultiSet,org.apache.commons.collections4.multiset,No
vUp,SequencesComparator,org.apache.commons.collections4.sequence,No
vDown,SequencesComparator,org.apache.commons.collections4.sequence,No
equator,SequencesComparator,org.apache.commons.collections4.sequence,No
sequence1,SequencesComparator,org.apache.commons.collections4.sequence,No
sequence2,SequencesComparator,org.apache.commons.collections4.sequence,No
pendingDeletions,ReplacementsFinder,org.apache.commons.collections4.sequence,No
handler,ReplacementsFinder,org.apache.commons.collections4.sequence,No
pendingInsertions,ReplacementsFinder,org.apache.commons.collections4.sequence,No
skipped,ReplacementsFinder,org.apache.commons.collections4.sequence,No
object,EditCommand,org.apache.commons.collections4.sequence,No
lcsLength,EditScript,org.apache.commons.collections4.sequence,No
commands,EditScript,org.apache.commons.collections4.sequence,No
modifications,EditScript,org.apache.commons.collections4.sequence,Yes
serialVersionUID,FunctorException,org.apache.commons.collections4,No
serialVersionUID,AbstractSerializableListDecorator,org.apache.commons.collections4.list,No
serialVersionUID,GrowthList,org.apache.commons.collections4.list,No
size,TreeList,org.apache.commons.collections4.list,No
root,TreeList,org.apache.commons.collections4.list,No
serialVersionUID,FixedSizeList,org.apache.commons.collections4.list,No
maximumCacheSize,NodeCachingLinkedList,org.apache.commons.collections4.list,No
serialVersionUID,NodeCachingLinkedList,org.apache.commons.collections4.list,No
cacheSize,NodeCachingLinkedList,org.apache.commons.collections4.list,No
DEFAULT_MAXIMUM_CACHE_SIZE,NodeCachingLinkedList,org.apache.commons.collections4.list,No
firstCachedNode,NodeCachingLinkedList,org.apache.commons.collections4.list,No
serialVersionUID,AbstractListDecorator,org.apache.commons.collections4.list,No
serialVersionUID,UnmodifiableList,org.apache.commons.collections4.list,No
serialVersionUID,PredicatedList,org.apache.commons.collections4.list,No
serialVersionUID,SetUniqueList,org.apache.commons.collections4.list,No
set,SetUniqueList,org.apache.commons.collections4.list,No
serialVersionUID,TransformedList,org.apache.commons.collections4.list,No
factory,LazyList,org.apache.commons.collections4.list,No
serialVersionUID,LazyList,org.apache.commons.collections4.list,No
