Package,Class,Method,Parameters,CC
org.apache.commons.collections4,QueueUtils,emptyQueue,,1
org.apache.commons.collections4,QueueUtils,predicatedQueue,"Queue<E>, Predicate<? super E>",1
org.apache.commons.collections4,QueueUtils,synchronizedQueue,Queue<E>,1
org.apache.commons.collections4,QueueUtils,transformingQueue,"Queue<E>, Transformer<? super E,? extends E>",1
org.apache.commons.collections4,QueueUtils,unmodifiableQueue,Queue<? extends E>,1
org.apache.commons.collections4,SortedBag,comparator,,1
org.apache.commons.collections4,SortedBag,first,,1
org.apache.commons.collections4,SortedBag,last,,1
org.apache.commons.collections4,TransformerUtils,asTransformer,Closure<? super T>,1
org.apache.commons.collections4,TransformerUtils,asTransformer,Factory<? extends O>,1
org.apache.commons.collections4,TransformerUtils,asTransformer,Predicate<? super T>,1
org.apache.commons.collections4,TransformerUtils,chainedTransformer,"Collection<? extends Transformer<? super T,? extends T>>",1
org.apache.commons.collections4,TransformerUtils,chainedTransformer,"Transformer<? super T,? extends T>",1
org.apache.commons.collections4,TransformerUtils,cloneTransformer,,1
org.apache.commons.collections4,TransformerUtils,constantTransformer,O,1
org.apache.commons.collections4,TransformerUtils,exceptionTransformer,,1
org.apache.commons.collections4,TransformerUtils,ifTransformer,"Predicate<? super I>, Transformer<? super I,? extends O>, Transformer<? super I,? extends O>",1
org.apache.commons.collections4,TransformerUtils,ifTransformer,"Predicate<? super T>, Transformer<? super T,? extends T>",1
org.apache.commons.collections4,TransformerUtils,instantiateTransformer,,1
org.apache.commons.collections4,TransformerUtils,instantiateTransformer,"Class<?>[], Object[]",1
org.apache.commons.collections4,TransformerUtils,invokerTransformer,String,1
org.apache.commons.collections4,TransformerUtils,invokerTransformer,"String, Class<?>[], Object[]",1
org.apache.commons.collections4,TransformerUtils,mapTransformer,"Map<? super I,? extends O>",1
org.apache.commons.collections4,TransformerUtils,nopTransformer,,1
org.apache.commons.collections4,TransformerUtils,nullTransformer,,1
org.apache.commons.collections4,TransformerUtils,stringValueTransformer,,1
org.apache.commons.collections4,TransformerUtils,switchMapTransformer,"Map<I,Transformer<I,O>>",2
org.apache.commons.collections4,TransformerUtils,switchTransformer,"Map<Predicate<I>,Transformer<I,O>>",1
org.apache.commons.collections4,TransformerUtils,switchTransformer,"Predicate<? super I>, Transformer<? super I,? extends O>, Transformer<? super I,? extends O>",1
org.apache.commons.collections4,TransformerUtils,switchTransformer,"Predicate<? super I>[], Transformer<? super I,? extends O>[]",1
org.apache.commons.collections4,TransformerUtils,switchTransformer,"Predicate<? super I>[], Transformer<? super I,? extends O>[], Transformer<? super I,? extends O>",1
org.apache.commons.collections4,MultiValuedMap,asMap,,1
org.apache.commons.collections4,MultiValuedMap,clear,,1
org.apache.commons.collections4,MultiValuedMap,containsKey,Object,1
